League,Season,Club,Player,Position,Points,Bonus_Points,Start_Price,End_Price
Ligue 1,2014-15,Monaco,Danijel Subašić,GK,163,20,5.0,5.5
Ligue 1,2014-15,Monaco,Fabinho,DEF,159,15,5.5,5.7
Ligue 1,2014-15,Rennes,Mexer,DEF,149,10,5.5,5.7
Ligue 1,2014-15,Montpellier,Hilton,DEF,142,7,5.0,5.2
Ligue 1,2014-15,Guingamp,Claudio Beauvue,MID,196,25,7.5,7.9
Ligue 1,2014-15,Marseille,Dimitri Payet,MID,190,26,8.0,8.3
Ligue 1,2014-15,Saint-Étienne,Max Gradel,MID,181,30,9.0,9.2
Ligue 1,2014-15,Montpellier,Anthony Mounier,MID,168,19,6.5,6.8
Ligue 1,2014-15,Lyon,Alexandre Lacazette,FWD,234,49,11.0,11.6
Ligue 1,2014-15,Marseille,André-Pierre Gignac,FWD,189,30,8.5,8.8
Ligue 1,2014-15,PSG,Zlatan Ibrahimović,FWD,167,30,10.0,10.1
Total,-,-,-,-,1938,261,81.5,84.8
