League,Season,Club,Player,Position,Points,Bonus_Points,Start_Price,End_Price
Premier League,2014-15,Swansea,Łukasz Fabiański,GK,130,23,4.5,4.8
Premier League,2014-15,Chelsea,Branislav Ivanović,DEF,179,16,5.5,6.1
Premier League,2014-15,Chelsea,John Terry,DEF,172,9,5.5,5.9
Premier League,2014-15,Everton,Leighton Baines,DEF,143,24,6.0,6.0
Premier League,2014-15,Chelsea,Eden Hazard,MID,234,46,8.0,8.8
Premier League,2014-15,Arsenal,Alexis Sánchez,MID,212,33,8.5,9.0
Premier League,2014-15,Man. City,David Silva,MID,177,29,8.0,8.2
Premier League,2014-15,Arsenal,Santiago Cazorla,MID,166,21,7.0,7.2
Premier League,2014-15,Man. City,Sergio Agüero,FWD,221,35,11.0,11.5
Premier League,2014-15,Tottenham,Harry Kane,FWD,188,36,9.5,9.6
Premier League,2014-15,QPR,Charlie Austin,FWD,176,26,8.0,8.1
Total,-,-,-,-,1998,298,81.5,85.2
