League,Season,Club,Player,Position,Points,Bonus_Points,Start_Price,End_Price
Serie A,2015-16,Juventus,Gianluigi Buffon,GK,169,19,5.5,5.9
Serie A,2017-18,Roma,Aleksandar Kolarov,DEF,183,28,5.5,6.0
Serie A,2017-18,Napoli,Kalidou Koulibaly,DEF,178,14,5.5,6.1
Serie A,2020-21,Atalanta,Robin Gosens,DEF,174,18,7.0,7.5
Serie A,2020-21,Napoli,Lorenzo Insigne,MID,240,49,8.0,9.1
Serie A,2017-18,Juventus,Paulo Dybala,MID,223,29,10.0,10.6
Serie A,2016-17,Napoli,Marek Hamšík,MID,204,30,8.0,8.4
Serie A,2020-21,Sassuolo,Domenico Berardi,MID,202,37,8.5,8.9
Serie A,2019-20,Lazio,Ciro Immobile,FWD,301,65,10.5,11.7
Serie A,2015-16,Napoli,Gonzalo Higuaín,FWD,272,56,9.5,10.9
Serie A,2019-20,Juventus,Cristiano Ronaldo,FWD,257,56,12.0,12.5
Total,-,-,-,-,2403,401,90.0,97.6
