League,Season,Club,Player,Position,Points,Bonus_Points,Start_Price,End_Price
Ligue 1,2016-17,Marseille,Yohann Pelé,GK,144,16,4.5,4.9
Ligue 1,2016-17,Monaco,Kamil Glik,DEF,175,9,5.0,5.7
Ligue 1,2016-17,Toulouse,Christopher Jullien,DEF,137,10,5.0,5.2
Ligue 1,2016-17,Marseille,Rolando,DEF,133,11,5.0,5.1
Ligue 1,2016-17,Montpellier,Ryad Boudebouz,MID,177,27,6.5,6.8
Ligue 1,2016-17,Monaco,Thomas Lemar,MID,169,21,6.0,6.5
Ligue 1,2016-17,Monaco,Bernardo Silva,MID,163,15,7.0,7.2
Ligue 1,2016-17,Lille,Nicolas de Preville,MID,152,20,6.5,6.7
Ligue 1,2016-17,PSG,Edinson Cavani,FWD,262,48,10.0,11.2
Ligue 1,2016-17,Lyon,Alexandre Lacazette,FWD,214,40,11.0,11.5
Ligue 1,2016-17,Marseille,Florian Thauvin,FWD,181,29,5.5,6.3
Total,-,-,-,-,1907,246,72.0,77.1
