League,Season,Club,Player,Position,Points,Bonus_Points,Start_Price,End_Price
Bundesliga,2015-16,Bayern,Manuel Neuer,GK,159,14,6.0,6.2
Bundesliga,2018-19,Bayern,Joshua Kimmich,DEF,188,31,6.5,6.9
Bundesliga,2019-20,Dortmund,Achraf Hakimi,DEF,185,27,5.5,6.3
Bundesliga,2018-19,RB Leipzig,Marcel Halstenberg,DEF,172,27,5.0,5.6
Bundesliga,2019-20,Dortmund,Jadon Sancho,MID,225,28,8.5,9.4
Bundesliga,2014-15,Wolfsburg,Kevin De Bruyne,MID,222,39,9.5,9.8
Bundesliga,2015-16,Dortmund,Henrikh Mkhitaryan,MID,196,31,6.0,7.0
Bundesliga,2018-19,Dortmund,Jadon Sancho,MID,195,27,6.0,6.9
Bundesliga,2020-21,Bayern,Robert Lewandowski,FWD,288,50,12.5,13.1
Bundesliga,2019-20,Bayern,Robert Lewandowski,FWD,244,39,12.0,12.6
Bundesliga,2020-21,Frankfurt,André Silva,FWD,236,46,5.5,7.1
Total,-,-,-,-,2310,359,83.0,90.9
