season,league,team,player,player_id,fantasy_position,mins,matches,raw_score,bonus_score,full_score,goals,assists,clean_sheets,yellows,reds,own_goals,key_passes,xG_buildup,team_final_scored,team_final_conceded,raw_bonus,avg_bonus_rank,raw_score_p_90,bonus_score_p_90,full_score_p_90,goals_p_90,assists_p_90,clean_sheets_p_90,yellows_p_90,reds_p_90,own_goals_p_90,key_passes_p_90,xG_buildup_p_90,team_final_scored_p_90,team_final_conceded_p_90,raw_bonus_p_90,raw_score_p_match,bonus_score_p_match,full_score_p_match,goals_p_match,assists_p_match,clean_sheets_p_match,yellows_p_match,reds_p_match,own_goals_p_match,key_passes_p_match,xG_buildup_p_match,team_final_scored_p_match,team_final_conceded_p_match,raw_bonus_p_match
2014-15,Bundesliga,Augsburg,Abdul Rahman Baba,684,DEF,2668,31,86,11,97,0,4,8,4,0,0,24,6.006,37,40,350,12.065,2.901,0.371,3.272,0,0.135,0.27,0.135,0,0,0.81,0.203,1.248,1.349,11.807,2.774,0.355,3.129,0,0.129,0.258,0.129,0,0,0.774,0.194,1.194,1.29,11.29
2014-15,Bundesliga,Augsburg,Alexander Esswein,270,MID,861,19,42,1,43,1,3,2,0,0,0,16,1.002,26,24,147,15.553,4.39,0.105,4.495,0.105,0.314,0.209,0,0,0,1.672,0.105,2.718,2.509,15.366,2.211,0.053,2.263,0.053,0.158,0.105,0,0,0,0.842,0.053,1.368,1.263,7.737
2014-15,Bundesliga,Augsburg,Alexander Manninger,277,GK,810,9,17,2,19,0,0,1,0,0,0,0,0.632,15,15,60,16.889,1.889,0.222,2.111,0,0,0.111,0,0,0,0,0.07,1.667,1.667,6.667,1.889,0.222,2.111,0,0,0.111,0,0,0,0,0.07,1.667,1.667,6.667
2014-15,Bundesliga,Augsburg,Caiuby,272,MID,795,22,30,1,31,1,0,1,3,0,0,11,1.703,23,25,115,19.841,3.396,0.113,3.509,0.113,0,0.113,0.34,0,0,1.245,0.193,2.604,2.83,13.019,1.364,0.045,1.409,0.045,0,0.045,0.136,0,0,0.5,0.077,1.045,1.136,5.227
2014-15,Bundesliga,Augsburg,Christoph Janker,274,DEF,65,2,4,0,4,0,0,1,0,1,0,0,0,2,0,12,17.5,5.538,0,5.538,0,0,1.385,0,1.385,0,0,0,2.769,0,16.615,2,0,2,0,0,0.5,0,0.5,0,0,0,1,0,6
2014-15,Bundesliga,Augsburg,Daniel Baier,268,MID,3056,34,82,3,85,1,1,10,4,0,0,29,9.592,43,43,343,10.559,2.415,0.088,2.503,0.029,0.029,0.295,0.118,0,0,0.854,0.282,1.266,1.266,10.101,2.412,0.088,2.5,0.029,0.029,0.294,0.118,0,0,0.853,0.282,1.265,1.265,10.088
2014-15,Bundesliga,Augsburg,Dominik Kohr,269,MID,1645,26,48,3,51,1,1,6,10,0,0,11,1.578,34,34,153,17.904,2.626,0.164,2.79,0.055,0.055,0.328,0.547,0,0,0.602,0.086,1.86,1.86,8.371,1.846,0.115,1.962,0.038,0.038,0.231,0.385,0,0,0.423,0.061,1.308,1.308,5.885
2014-15,Bundesliga,Augsburg,Dong-Won Ji,276,FWD,588,12,16,0,16,0,0,2,1,0,0,4,0.709,13,16,56,20.167,2.449,0,2.449,0,0,0.306,0.153,0,0,0.612,0.109,1.99,2.449,8.571,1.333,0,1.333,0,0,0.167,0.083,0,0,0.333,0.059,1.083,1.333,4.667
2014-15,Bundesliga,Augsburg,Halil Altintop,280,MID,2485,31,91,6,97,3,4,7,1,0,0,51,5.256,42,39,357,10.29,3.296,0.217,3.513,0.109,0.145,0.254,0.036,0,0,1.847,0.19,1.521,1.412,12.93,2.935,0.194,3.129,0.097,0.129,0.226,0.032,0,0,1.645,0.17,1.355,1.258,11.516
2014-15,Bundesliga,Augsburg,Jan-Ingwer Callsen-Bracker,266,DEF,2053,23,69,2,71,1,2,6,4,0,0,6,2.964,32,28,245,13.022,3.025,0.088,3.113,0.044,0.088,0.263,0.175,0,0,0.263,0.13,1.403,1.227,10.74,3,0.087,3.087,0.043,0.087,0.261,0.174,0,0,0.261,0.129,1.391,1.217,10.652
2014-15,Bundesliga,Augsburg,Jeong-ho Hong,406,DEF,932,17,30,0,30,0,0,3,2,0,0,2,0.388,24,19,95,18.765,2.897,0,2.897,0,0,0.29,0.193,0,0,0.193,0.037,2.318,1.835,9.174,1.765,0,1.765,0,0,0.176,0.118,0,0,0.118,0.023,1.412,1.118,5.588
