player,position,points,start_price,end_price,next_price,price_boost
David Luiz,DEF,41,5.5,5.4,5,-0.5
Aubameyang,MID,131,12,11.3,10,-2
Cédric,DEF,28,5,4.6,4.5,-0.5
Lacazette,FWD,129,8.5,8.4,8.5,0
Leno,GK,131,5,5,5,0
Xhaka,MID,70,5.5,5.2,5,-0.5
Marí,DEF,34,4.5,4.4,4.5,0
Bellerín,DEF,94,5,5,5,0
Chambers,DEF,36,4.5,4.5,5,0.5
Holding,DEF,105,4.5,4.3,5,0.5
Tierney,DEF,96,5.5,5.2,5.5,0
Pépé,MID,114,8,7.7,8,0
Smith Rowe,MID,74,4.5,4.2,5,0.5
Saka,MID,114,5.5,5.1,6,0.5
Martinelli,MID,36,5,4.9,5,0
Ryan,GK,37,4.5,4.1,4.5,0
Willian,MID,78,8,7.5,7,-1
Gabriel,DEF,78,5,4.9,5,0
Ceballos,MID,62,5,4.7,5,0
Elneny,MID,50,4.5,4.2,4.5,0
Partey,MID,47,5,4.9,5,0
Ødegaard,MID,40,6,5.6,5.5,-0.5
Martínez,GK,186,4.5,5.3,5.5,1
El Mohamady,DEF,33,4.5,4.2,4.5,0
Grealish,MID,135,7,7.5,8,1
McGinn,MID,114,5.5,5.5,5.5,0
Hause,DEF,32,4.5,4.4,4.5,0
Trézéguet,MID,56,5.5,5.2,5.5,0
Mings,DEF,128,5,5.4,5.5,0.5
Targett,DEF,138,4.5,5,5,0.5
Nakamba,MID,27,4.5,4.3,4.5,0
El Ghazi,MID,111,6,5.2,6.5,0.5
Konsa,DEF,119,4.5,4.6,5,0.5
Douglas Luiz,MID,72,5,4.8,5,0
Barkley,MID,76,6,5.8,6,0
Cash,DEF,89,5,5,5,0
Watkins,FWD,168,6,6.3,7,1
Traoré,MID,135,6,5.8,6.5,0.5
Ramsey,MID,28,4.5,4.5,4.5,0
Lallana,MID,58,6.5,6.2,6,-0.5
Groß,MID,116,6,5.8,6,0
Burn,DEF,64,4.5,4.2,4.5,0
Dunk,DEF,130,5,4.8,5.5,0.5
March,MID,69,5,4.9,5,0
Webster,DEF,85,4.5,4.3,4.5,0
Veltman,DEF,96,4.5,4.3,5,0.5
Maupay,FWD,105,6.5,5.8,6.5,0
Trossard,MID,132,6,5.5,6,0
Jahanbakhsh,MID,24,5.5,5.4,5,-0.5
White,DEF,104,4.5,4.5,4.5,0
Bissouma,MID,77,4.5,4.4,4.5,0
Lamptey,DEF,35,4.5,4.6,5,0.5
Connolly,FWD,38,5.5,5.2,5.5,0
Alzate,MID,35,4.5,4.1,4.5,0
Mac Allister,MID,48,5.5,5.3,5.5,0
Welbeck,FWD,89,5.5,5.5,6,0.5
Sánchez,GK,101,4.5,4.5,4.5,0
Moder,MID,21,5,5,5,0
Tarkowski,DEF,109,5.5,5.3,5,-0.5
Pieters,DEF,50,4.5,4.3,4.5,0
Cork,MID,33,5,5,5,0
Long,DEF,14,4.5,4.3,4.5,0
Rodriguez,FWD,54,6,5.7,5.5,-0.5
Barnes,FWD,52,6,6,5.5,-0.5
Mee,DEF,102,5,4.7,5,0
Westwood,MID,112,5.5,5.3,5.5,0
Gudmundsson,MID,50,5.5,5.4,5.5,0
Wood,FWD,138,6.5,6.6,7,0.5
Lowton,DEF,103,4.5,4.4,4.5,0
Vydra,FWD,62,5,4.8,5.5,0.5
Brady,MID,44,5,5,5,0
Pope,GK,144,5.5,5.5,5.5,0
Taylor,DEF,83,4.5,4.4,4.5,0
Brownhill,MID,74,5,4.9,5,0
McNeil,MID,113,6,5.7,6,0
Azpilicueta,DEF,113,6,5.8,6,0
Giroud,FWD,47,7,6.7,6.5,-0.5
Alonso,DEF,57,6,5.6,5.5,-0.5
Jorginho,MID,114,5,4.7,6,1
Kovacic,MID,54,5.5,5.3,5,-0.5
Rüdiger,DEF,93,5,4.7,5,0
Zouma,DEF,108,5,5.3,5.5,0.5
Arrizabalaga,GK,26,5,4.7,4.5,-0.5
Kanté,MID,62,5,4.9,5,0
Ziyech,MID,70,8,7.9,7.5,-0.5
Christensen,DEF,61,5,4.7,5,0
Werner,FWD,128,9.5,9.2,8.5,-1
Abraham,FWD,69,7.5,7.1,7,-0.5
Pulisic,MID,82,8.5,8.3,7.5,-1
Mount,MID,147,7,7.3,7.5,0.5
Hudson-Odoi,MID,59,6,5.7,6,0
James,DEF,112,5,5.1,5.5,0.5
Chilwell,DEF,139,5.5,5.9,6.5,1
Thiago Silva,DEF,92,5.5,5.6,5.5,0
Havertz,MID,91,8.5,8.3,8,-0.5
Mendy,GK,140,5,5.3,5.5,0.5
Batshuayi,FWD,41,6,5.7,5.5,-0.5
Cahill,DEF,53,4.5,4.5,4.5,0
Guaita,GK,124,5,4.8,5,0
Tomkins,DEF,18,4.5,4.4,4.5,0
McArthur,MID,45,5.5,5.2,5,-0.5
McCarthy,MID,26,4.5,4.3,4.5,0
Benteke,FWD,106,5.5,5.5,6.5,1
Kouyaté,MID,82,5,4.8,5,0
Ward,DEF,66,4.5,4.3,4.5,0
Townsend,MID,94,6,5.5,5.5,-0.5
Milivojevic,MID,63,6,5.6,5.5,-0.5
van Aanholt,DEF,54,5.5,5.4,5,-0.5
Ayew,FWD,70,6,5.6,5.5,-0.5
Zaha,MID,136,7,7.1,7.5,0.5
Schlupp,MID,65,5.5,5.3,5.5,0
Riedewald,MID,64,4.5,4.4,5,0.5
Mitchell,DEF,58,4,3.8,4.5,0.5
Dann,DEF,39,4.5,4.2,4.5,0
Eze,MID,125,6,5.8,6.5,0.5
Clyne,DEF,28,4.5,4.5,4.5,0
Sigurdsson,MID,122,7,6.8,7,0
Coleman,DEF,81,5,4.9,5,0
Digne,DEF,120,6,6.2,6,0
Keane,DEF,127,5,5,5.5,0.5
Pickford,GK,114,5,4.8,5,0
André Gomes,MID,48,5.5,5.3,5,-0.5
Iwobi,MID,65,6,5.9,5.5,-0.5
Mina,DEF,79,5.5,5.5,5.5,0
Davies,MID,47,5.5,5.2,5,-0.5
Calvert-Lewin,FWD,165,7,7.5,8,1
Holgate,DEF,80,5,4.8,5,0
Richarlison,FWD,123,8,7.7,7.5,-0.5
Allan,MID,47,5.5,5.2,5,-0.5
Rodríguez,MID,101,7.5,7.7,7.5,0
Doucouré,MID,80,5.5,5.1,5.5,0
Godfrey,DEF,100,5,5.1,5,0
Olsen,GK,25,4.5,4.5,4.5,0
Loftus-Cheek,MID,66,6,5.9,5.5,-0.5
Cairney,MID,27,5.5,5.2,5,-0.5
Ream,DEF,10,4.5,4.2,4.5,0
Decordova-Reid,FWD,88,5.5,5.3,5.5,0
Bryan,DEF,27,5,4.5,5,0
Mitrović,FWD,63,6,5.5,5.5,-0.5
Cavaleiro,MID,85,5.5,5.3,5.5,0
Anguissa,MID,76,4.5,4.4,5,0.5
Reed,MID,69,4.5,4.4,4.5,0
Robinson,DEF,57,4.5,4.4,4.5,0
Lemina,MID,55,4.5,4.5,5,0.5
Areola,GK,124,4.5,4.5,4.5,0
Tete,DEF,50,4.5,4.3,4.5,0
Lookman,MID,107,5,4.7,5.5,0.5
Aina,DEF,102,4.5,4.3,5,0.5
Andersen,DEF,93,4.5,4.5,4.5,0
Adarabioyo,DEF,100,4.5,4.5,4.5,0
Maja,FWD,40,5.5,5,5.5,0
Schmeichel,GK,128,5.5,5.4,5,-0.5
Fuchs,DEF,24,4.5,4.5,4.5,0
Evans,DEF,109,5.5,5.6,5.5,0
Albrighton,MID,78,5.5,5.2,5.5,0
Vardy,FWD,187,10,10.2,10.5,0.5
Praet,MID,37,5.5,5.2,5.5,0
Pereira,DEF,27,6,5.9,5.5,-0.5
Amartey,DEF,19,4,3.9,4.5,0.5
Tielemans,MID,133,6.5,6.4,6.5,0
Pérez,MID,58,6.5,6,6,-0.5
Maddison,MID,133,7,7.2,7.5,0.5
Iheanacho,FWD,110,6,6.2,7,1
Barnes,MID,126,7,6.6,7,0
Ndidi,MID,79,5,4.8,5,0
Söyüncü,DEF,59,5.5,5.3,5,-0.5
Justin,DEF,101,4.5,4.8,5,0.5
Thomas,DEF,26,4.5,4.1,4.5,0
Castagne,DEF,94,5.5,5.8,6,0.5
Mendy,MID,41,4.5,4.2,4.5,0
Fofana,DEF,71,5,5,5,0
Cooper,DEF,59,4.5,4.3,4.5,0
Ayling,DEF,100,4.5,4.4,4.5,0
Klich,MID,99,5.5,5.2,5.5,0
Dallas,DEF,171,4.5,5.5,6.5,2
Alioski,DEF,110,4.5,4.4,5,0.5
Bamford,FWD,194,5.5,6.6,8.5,3
Harrison,MID,160,5.5,5.6,6.5,1
Phillips,MID,67,5,4.9,5,0
Costa,MID,63,5.5,5,5.5,0
Roberts,MID,49,5,4.6,5,0
Struijk,DEF,71,4,4,4.5,0.5
Meslier,GK,154,4.5,4.8,5,0.5
Koch,DEF,38,4.5,4.3,4.5,0
Rodrigo,FWD,89,6,5.7,6.5,0.5
Llorente,DEF,50,4.5,4.4,4.5,0
Raphinha,MID,133,5.5,5.6,6.5,1
Milner,MID,44,5.5,5.3,5,-0.5
Wijnaldum,MID,97,5.5,5.3,5.5,0
Henderson,MID,56,5.5,5.4,5.5,0
Matip,DEF,42,5.5,5.4,5.5,0
Shaqiri,MID,26,6.5,6.4,6,-0.5
Firmino,FWD,141,9.5,9.1,8.5,-1
Mané,MID,176,12,11.8,11,-1
Alisson,GK,140,6,6,6,0
Fabinho,MID,71,5.5,5.4,5,-0.5
Salah,MID,231,12,12.9,13,1
Robertson,DEF,161,7,7.3,7,0
Alexander-Arnold,DEF,160,7.5,7.8,7.5,0
Gomez,DEF,10,5.5,5.2,5,-0.5
